,question,label,Verbes conjugués à la troisième personne du présent indicatif,Déterminants possessifs,Mots interrogatifs,Nombre de mots,Nombre de lettres,Moyenne du nombre de lettres par mots,Pronoms interogatifs,Adverbes interogatifs,Noms au pluriel,Nombres cardinaux,Verbes transitifs,M_mots,Interjections,Lieux,Lieux uniques,Détails,Détails uniques,Organisations,Organisations uniques,Personnes,Personnes uniques,SD_mots,M_adjectifs,M_prépositions,M_adverbes,M_déterminants,M_noms,M_noms propres,M_verbes,SD_adjectifs,SD_prépositions,SD_adverbes,SD_déterminants,SD_noms,SD_noms propres,SD_verbes
0,Quelles sont les régions les plus attractives en France ?,1.0,0,0,0,10,48,4.8,0,0,1,0,0,39446.47999999998,0,1,1,0,0,0,0,0,0,103183.4077082151,256.635,5689.68,4062.45,13652.76,56.32,0.0,,255.915,0.0,0.0,0.0,0.0,0.0,
1,Quelle est la population de la France en 2019 ?,0.0,0,0,0,10,38,3.8,0,0,0,1,0,41737.61111111109,0,1,1,0,0,0,0,0,0,102613.96561184143,0.0,15455.27,,13652.76,31.36,0.0,,0.0,9765.59,,0.0,0.0,0.0,
2,Quel est le rôle de l'État dans la réduction des inégalités entre les territoires ?,0.0,0,0,1,16,69,4.3125,0,0,2,0,0,31340.434999999987,0,1,1,0,0,0,0,0,0,90667.99276331485,657.71,10084.056666666667,,13652.76,95.74799999999999,,,0.0,10845.407070222042,,0.0,109.44777940186817,,
3,Quel est le rôle de l'État dans la réduction des inégalités entre les territoires ?,1.0,0,0,1,16,69,4.3125,0,0,2,0,0,31340.434999999987,0,1,1,0,0,0,0,0,0,90667.99276331485,657.71,10084.056666666667,,13652.76,95.74799999999999,,,0.0,10845.407070222042,,0.0,109.44777940186817,,
4,Quelles sont les inégalités de développement au sein de l’Afrique australe ?,1.0,0,0,0,13,65,5.0,0,0,1,0,0,30877.96166666665,0,1,1,0,0,0,0,0,0,90816.39096316793,256.38,12610.43,,6826.38,35.10666666666666,0.0,,256.17,12610.43,,6826.38,39.02765629083503,0.0,
5,Quels sont les principaux objectifs de la politique d'aménagement du territoire ?,0.0,0,0,1,13,70,5.384615384615385,0,0,1,0,0,37087.602999999974,0,0,0,0,0,0,0,0,0,98314.83792648793,402.21500000000003,25220.86,,13652.76,38.535000000000004,,,255.495,0.0,,0.0,26.65652781215138,,
6,Quels sont les principaux objectifs de la politique d'aménagement du territoire ?,1.0,0,0,1,13,70,5.384615384615385,0,0,1,0,0,37087.602999999974,0,0,0,0,0,0,0,0,0,98314.83792648793,402.21500000000003,25220.86,,13652.76,38.535000000000004,,,255.495,0.0,,0.0,26.65652781215138,,
7,Quels sont les principaux objectifs de la politique d'aménagement du territoire ?,0.0,0,0,1,13,70,5.384615384615385,0,0,1,0,0,37087.602999999974,0,0,0,0,0,0,0,0,0,98314.83792648793,402.21500000000003,25220.86,,13652.76,38.535000000000004,,,255.495,0.0,,0.0,26.65652781215138,,
8,Quelles sont les régions les plus attractives en France ?,0.0,0,0,0,10,48,4.8,0,0,1,0,0,39446.47999999998,0,1,1,0,0,0,0,0,0,103183.4077082151,256.635,5689.68,4062.45,13652.76,56.32,0.0,,255.915,0.0,0.0,0.0,0.0,0.0,
9,Quelles sont les conséquences de la découverte du nouveau monde au XV<sup>e</sup> siècle ?,1.0,0,0,0,19,77,4.052631578947368,0,0,1,0,0,23291.584374999988,0,0,0,0,0,0,0,0,0,79740.10763373507,465.72499999999997,6305.215,,13652.76,363.288,0.0,0.0,46.82499999999999,10920.952732645399,,0.0,649.7657929562005,0.0,0.0
